origin,destination,weight
gci11_Lonline,gci11_Lforgery,-0.500471772209552
gci11_Lonline,gci12_Rprivacy,-0.5000000000000013
gci11_Lonline,gci12_RAuditre,-0.500121501760381
gci11_Lonline,gci12_Rstandard,-0.5000000000000009
gci11_Lonline,gci12_Rsign,-0.5000000000000006
gci11_Lonline,gci12_Rciip,-0.5001328197617588
gci11_Lonline,gci12_Rcop,0.5001306677102738
gci11_Lonline,gci21_Nactivity,0.5000000000000007
gci11_Lonline,gci21_Nfirst,0.5000000000000017
gci11_Lonline,gci21_NregCisrt,0.5000000000000012
gci11_Lonline,gci22_Scsirt,-0.5001433554714988
gci11_Lonline,gci22_Sactivity,-0.500106704605138
gci11_Lonline,gci23_FStandard,-0.5000000000000011
gci11_Lonline,gci31_Npriority,-0.5000000000000011
gci11_Lonline,gci32_Aciip,-0.5000000000000144
gci11_Lonline,gci32_Acop,-0.5000000000000014
gci11_Lonline,gci33_Maudit,-0.5001892625018247
gci11_Lonline,gci33_Mrisk,-0.5000000000000008
gci11_Lonline,gci33_Mmaturity,-0.5000000000000012
gci11_Lonline,gci34_Copstrategy,-0.5000000000000009
gci11_Lonline,gci41_AWmsme,0.5000000000000007
gci11_Lonline,gci41_AWprivate,0.5000000000000008
gci11_Lonline,gci41_AWsociety,-0.5003406380980143
gci11_Lonline,gci41_AWelderly,-0.5013495257523521
gci11_Lonline,gci42_Tprofessional,0.5002080588042854
gci11_Lonline,gci42_Tacreditation,0.5000894694456282
gci11_Lonline,gci42_Tsector,0.5000000000000003
gci11_Lonline,gci43_Cprimary,0.5002718622408279
gci11_Lonline,gci43_Chigher,-0.5000000000000009
gci11_Lonline,gci44_Rndprivate,-0.5003039205535861
gci11_Lonline,gci44_Rndpublic,-0.500000000000001
gci11_Lonline,gci44_RndAcademic,-0.5000000000000009
gci11_Lonline,gci45_Dindustry,-0.5000000000000012
gci11_Lonline,gci45_Dassociation,-0.500000000000001
gci11_Lonline,gci46_Icapacitydev,-0.5000000000000009
gci11_Lonline,gci46_Iindustry,-0.5004839489358576
gci11_Lonline,gci51_Bcountry,0.5007010981193428
gci11_Lonline,gci51_Bregintl,-0.5000000000000009
gci11_Lonline,gci52_Minfosharing,-0.5002382654171643
gci11_Lonline,gci52_Mcapacitydev,-0.5013351116323425
gci11_Lonline,gci53_Mlat,0.5006603563685145
gci11_Lonline,gci54_PPPdomestic,-0.5000000000000011
gci11_Lonline,gci55_Coordination,-0.5000000000000011
gci11_Lforgery,gci41_AWsociety,-0.5000772858729087
gci11_Lforgery,gci41_AWelderly,-0.5010863510334118
gci11_Lforgery,gci43_Cprimary,0.5000084979325047
gci11_Lforgery,gci44_Rndprivate,-0.5000405618773061
gci11_Lforgery,gci46_Iindustry,-0.5002206218961276
gci11_Lforgery,gci51_Bcountry,0.5004378092596466
gci11_Lforgery,gci52_Mcapacitydev,-0.5010719343739839
gci11_Lforgery,gci53_Mlat,0.5003970603437569
gci11_Lolsafety,gci11_Lonline,-0.5000000000000014
gci11_Lolsafety,gci11_Lforgery,-0.5004717722095531
gci11_Lolsafety,gci12_Rprivacy,-0.5000000000000024
gci11_Lolsafety,gci12_RAuditre,-0.5001215017603822
gci11_Lolsafety,gci12_Rstandard,-0.5000000000000021
gci11_Lolsafety,gci12_Rsign,-0.5000000000000019
gci11_Lolsafety,gci12_Rciip,-0.5001328197617599
gci11_Lolsafety,gci12_Rcop,0.500130667710275
gci11_Lolsafety,gci21_Nactivity,0.5000000000000019
gci11_Lolsafety,gci21_Nfirst,0.5000000000000029
gci11_Lolsafety,gci21_NregCisrt,0.5000000000000024
gci11_Lolsafety,gci22_Scsirt,-0.5001433554715
gci11_Lolsafety,gci22_Sactivity,-0.5001067046051393
gci11_Lolsafety,gci23_FStandard,-0.5000000000000024
gci11_Lolsafety,gci31_Npriority,-0.5000000000000024
gci11_Lolsafety,gci32_Aciip,-0.5000000000000158
gci11_Lolsafety,gci32_Acop,-0.5000000000000027
gci11_Lolsafety,gci33_Maudit,-0.5001892625018259
gci11_Lolsafety,gci33_Mrisk,-0.5000000000000021
gci11_Lolsafety,gci33_Mmaturity,-0.5000000000000024
gci11_Lolsafety,gci34_Copstrategy,-0.5000000000000021
gci11_Lolsafety,gci41_AWmsme,0.5000000000000019
gci11_Lolsafety,gci41_AWprivate,0.5000000000000021
gci11_Lolsafety,gci41_AWsociety,-0.5003406380980155
gci11_Lolsafety,gci41_AWelderly,-0.5013495257523533
gci11_Lolsafety,gci41_AWcop,0.5000000000000009
gci11_Lolsafety,gci42_Tprofessional,0.5002080588042866
gci11_Lolsafety,gci42_Tacreditation,0.5000894694456293
gci11_Lolsafety,gci42_Tsector,0.5000000000000016
gci11_Lolsafety,gci43_Cprimary,0.5002718622408291
gci11_Lolsafety,gci43_Chigher,-0.500000000000002
gci11_Lolsafety,gci44_Rndprivate,-0.5003039205535873
gci11_Lolsafety,gci44_Rndpublic,-0.5000000000000021
gci11_Lolsafety,gci44_RndAcademic,-0.5000000000000021
gci11_Lolsafety,gci45_Dindustry,-0.5000000000000023
gci11_Lolsafety,gci45_Dassociation,-0.5000000000000023
gci11_Lolsafety,gci46_Icapacitydev,-0.5000000000000021
gci11_Lolsafety,gci46_Iindustry,-0.500483948935859
gci11_Lolsafety,gci51_Bcountry,0.5007010981193439
gci11_Lolsafety,gci51_Bregintl,-0.5000000000000022
gci11_Lolsafety,gci52_Minfosharing,-0.5002382654171655
gci11_Lolsafety,gci52_Mcapacitydev,-0.5013351116323438
gci11_Lolsafety,gci53_Mlat,0.5006603563685157
gci11_Lolsafety,gci54_PPPdomestic,-0.5000000000000022
gci11_Lolsafety,gci55_Coordination,-0.5000000000000024
gci12_Rpdp,gci11_Lonline,-0.5003925159806927
gci12_Rpdp,gci11_Lforgery,-0.5008641645958409
gci12_Rpdp,gci11_Lolsafety,-0.5003925159806828
gci12_Rpdp,gci12_Rprivacy,-0.5003925159806937
gci12_Rpdp,gci12_Rnotif,-0.5003255288541497
gci12_Rpdp,gci12_RAuditre,-0.5005139859250224
gci12_Rpdp,gci12_Rstandard,-0.5003925159806932
gci12_Rpdp,gci12_Rsign,-0.500392515980693
gci12_Rpdp,gci12_Rspam,0.5001883349831057
gci12_Rpdp,gci12_Rciip,-0.500525300962181
gci12_Rpdp,gci12_Rcop,0.5005231494743319
gci12_Rpdp,gci21_NatCsirt,0.5001275910914915
gci12_Rpdp,gci21_Nactivity,0.500392515980693
gci12_Rpdp,gci21_Nfirst,0.500392515980694
gci12_Rpdp,gci21_NregCisrt,0.5003925159806937
gci12_Rpdp,gci22_Scsirt,-0.500535833912506
gci12_Rpdp,gci22_Sactivity,-0.5004991926450649
gci12_Rpdp,gci23_FStandard,-0.5003925159806935
gci12_Rpdp,gci23_Fciip,-0.5002432790467553
gci12_Rpdp,gci31_Npriority,-0.5003925159806936
gci12_Rpdp,gci32_Acyber,-0.5000334576026105
gci12_Rpdp,gci32_Aciip,-0.5003925159807069
gci12_Rpdp,gci32_Acapacity,-0.5002506487720159
gci12_Rpdp,gci32_Acop,-0.5003925159806939
gci12_Rpdp,gci33_Maudit,-0.5005817289183854
gci12_Rpdp,gci33_Mrisk,-0.5003925159806933
gci12_Rpdp,gci33_Mmaturity,-0.5003925159806937
gci12_Rpdp,gci34_Copstrategy,-0.5003925159806932
gci12_Rpdp,gci34_Copreporting,-0.5003632590612224
gci12_Rpdp,gci41_AWmsme,0.5003925159806931
gci12_Rpdp,gci41_AWprivate,0.5003925159806932
gci12_Rpdp,gci41_AWsociety,-0.5007330648542802
gci12_Rpdp,gci41_AWelderly,-0.5017416877718106
gci12_Rpdp,gci41_AWcop,0.500392515980692
gci12_Rpdp,gci42_Tprofessional,0.5006005202970987
gci12_Rpdp,gci42_Tacreditation,0.5004819619991463
gci12_Rpdp,gci42_Tsector,0.5003925159806927
gci12_Rpdp,gci43_Cprimary,0.5006643070183012
gci12_Rpdp,gci43_Csecondary,0.5001529046781475
gci12_Rpdp,gci43_Chigher,-0.5003925159806932
gci12_Rpdp,gci44_Rndprivate,-0.5006963569312914
gci12_Rpdp,gci44_Rndpublic,-0.5003925159806933
gci12_Rpdp,gci44_RndAcademic,-0.5003925159806933
