seriesCode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
gci11_Lonline,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000
gci11_Lforgery,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000
gci11_Lolsafety,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000
gci12_Rpdp,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000
gci12_Rprivacy,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000
gci12_Rnotif,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000
gci12_RAuditre,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000
gci12_Rstandard,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000
gci12_Rsign,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000
gci12_Rspam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
