2020,2021,2022,2023,2024,seriesCode,sdg,minVals,maxVals,instrumental,seriesName,color,I0,IF,successRates,qm,rl
0.7969933400461062,1.0,1.0,0.9855458513483031,1.0,gci11_Lonline,11,0.0,1.0,1,Laws on unauthorized online behavior ,#A21942,0.7969933400461062,1.0,0.5,0.467,0.3632
0.6675068495220475,1.0,0.995455900260013,0.954670913947468,1.0,gci11_Lforgery,11,0.0,1.0,1,legislation in force related to computer-related forgery (piracy/copyright infringements) ,#A21942,0.6675068495220475,1.0,0.5,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci11_Lolsafety,11,0.0,1.0,1,Laws on online safety ,#A21942,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_Rpdp,12,0.0,1.0,1,Regulation(s) related to personal data protection ,#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_Rprivacy,12,0.0,1.0,1,Regulation(s) related to privacy protection ,#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_Rnotif,12,0.0,1.0,1,Regulation(s) related to data breach/incident notification applying to private sector actors ,#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_RAuditre,12,0.0,1.0,1,"Regulation(s) related to cybersecurity audit requirements applying to national government agencies, departments, or their contractors ",#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_Rstandard,12,0.0,1.0,1,Regulation(s) related to cybersecurity standards applying to national public sector actors ,#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,1.0,1.0,1.0,1.0,gci12_Rsign,12,0.0,1.0,1,Regulation(s) related to use of digital signatures and e-transactions in government services and applications (e-govt),#FF3A21,1.0,1.05,0.05,0.467,0.3632
1.0,0.8771456484891368,0.9538496574045494,1.0,1.0,gci12_Rspam,12,0.0,1.0,1,"Regulation(s) related to unsolicited communication, also known as spam ",#FF3A21,1.0,1.05,0.5,0.467,0.3632
