Budget baseline,Budget optimized,delta_budget
4948887000.0,2475656443.991661,-2473230556.008339
39000000.0,45854223.531101644,6854223.531101644
79195000.0,79195000.0,0.0
462917000.0,462917000.0,0.0
486530000.0,486530000.0,0.0
815498000.0,536674672.0085144,-278823327.9914856
561720000.0,522094959.2971802,-39625040.702819824
2330601000.0,2330601000.0,0.0
438909000.0,438909000.0,0.0
1e-12,751296.7410185651,751296.7410185651
330522000.0,339989124.80214715,9467124.80214715
452000000000.0,452000000000.0,0.0
3911248000.0,120521824.49999999,-3790726175.5
1e-12,1e-12,0.0
14385344000.0,120521824.49999999,-14264822175.5
1499630000.0,120521824.49999999,-1379108175.5
957422000.0,957427939.2265532,5939.226553201675
1427025000.0,1427025000.0,0.0
64998000.0,6298279635.570675,6233281635.570675
442759000.0,442759000.0,0.0
252000000000.0,252000000000.0,0.0
7742607000.0,13903878773.281021,6161271773.281021
2377695000.0,2377695000.0,0.0
2593949000.0,2593949000.0,0.0
1110583000.0,7240065293.045732,6129482293.045732
6467040000.0,6467040000.0,0.0
1e-12,1e-12,0.0
78557000.0,78557000.0,0.0
1042307000.0,1042307000.0,0.0
145358000.0,145358000.0,0.0
3983644000.0,3983644000.0,0.0
1e-12,1e-12,0.0
1e-12,1e-12,0.0
1e-12,751296.7410185651,751296.7410185651
1e-12,751296.7410185651,751296.7410185651
11380745000.0,120521824.49999999,-11260223175.5
1580213000.0,120521824.49999999,-1459691175.5
1247784000.0,120521824.49999999,-1127262175.5
1e-12,3116849351.291414,3116849351.291414
1e-12,3116849351.291414,3116849351.291414
7908462000.0,7908462000.0,0.0
1e-12,751296.7410185651,751296.7410185651
104141000.0,104243113.12443289,102113.12443289161
2515303000.0,2515303000.0,0.0
7431375000.0,7431375000.0,0.0
577454000.0,577454000.0,0.0
148105000.0,3264492730.318241,3116387730.318241
2058323000.0,2058323000.0,0.0
477721000.0,5150761550.353698,4673040550.353698
1e-12,390016368.2774986,390016368.2774986
602996000.0,602996000.0,0.0
1404265000.0,1404265000.0,0.0
803425000.0,803425000.0,0.0
114146000.0,114146000.0,0.0
307981000.0,3423870420.9113536,3115889420.9113536
194864000.0,194864000.0,0.0
1897582000.0,1897582000.0,0.0
