Budget baseline,Budget optimized,delta_budget
4948887000.0,4948887000.0,0.0
39000000.0,859126063.3002967,820126063.3002967
79195000.0,160695766.0,81500766.0
462917000.0,462917000.0,0.0
486530000.0,486530000.0,0.0
815498000.0,815498000.0,0.0
561720000.0,561720000.0,0.0
2330601000.0,2330601000.0,0.0
438909000.0,438909000.0,0.0
1e-12,160695766.0,160695766.0
330522000.0,1868771572.7077703,1538249572.7077703
1e-12,160695766.0,160695766.0
452000000000.0,90400000000.0,-361600000000.0
3911248000.0,782249600.0,-3128998400.0
1e-12,1e-12,0.0
1e-12,1e-12,0.0
14385344000.0,2877068800.0,-11508275200.0
1499630000.0,299926000.0,-1199704000.0
957422000.0,3860655790.3992815,2903233790.3992815
1427025000.0,1427025000.0,0.0
64998000.0,712841613.6258059,647843613.6258059
442759000.0,442759000.0,0.0
252000000000.0,252000000000.0,0.0
7742607000.0,121963235742.28806,114220628742.28806
2377695000.0,2377695000.0,0.0
1e-12,160695766.0,160695766.0
2593949000.0,2593949000.0,0.0
1110583000.0,13681331082.47356,12570748082.47356
6467040000.0,19411715956.766605,12944675956.766605
1e-12,160695766.0,160695766.0
1e-12,160695766.0,160695766.0
1e-12,160695766.0,160695766.0
78557000.0,78557000.0,0.0
1042307000.0,208461400.0,-833845600.0
145358000.0,145358000.0,0.0
3983644000.0,796728800.0,-3186915200.0
1e-12,1e-12,0.0
1e-12,1e-12,0.0
1e-12,160695766.0,160695766.0
1e-12,160695766.0,160695766.0
11380745000.0,2276149000.0,-9104596000.0
1580213000.0,316042600.0,-1264170400.0
1247784000.0,249556800.0,-998227200.0
1e-12,160695766.0,160695766.0
1e-12,160695766.0,160695766.0
7908462000.0,7908462000.0,0.0
1e-12,160695766.0,160695766.0
104141000.0,56876335840.86606,56772194840.86606
2515303000.0,2515303000.0,0.0
7431375000.0,6531881199.583761,-899493800.4162388
577454000.0,577454000.0,0.0
148105000.0,466920473.7823384,318815473.7823384
2058323000.0,2058323000.0,0.0
477721000.0,1790667554.4739485,1312946554.4739485
1e-12,3534213725.1083045,3534213725.1083045
602996000.0,160695766.0,-442300234.0
1404265000.0,280853000.0,-1123412000.0
803425000.0,160695766.0,-642729234.0
114146000.0,114146000.0,0.0
1e-12,141994155.4698214,141994155.4698214
307981000.0,4658458223.370497,4350477223.370497
194864000.0,194864000.0,0.0
1897582000.0,1897582000.0,0.0
