program_name,seriesCode,gci11_Lonline,gci11_Lforgery,gci11_Lolsafety,gci12_Rpdp,gci12_Rprivacy,gci12_Rnotif,gci12_RAuditre,gci12_Rstandard,gci12_Rsign,gci12_Rspam,gci12_Rciip,gci12_Rcop,gci21_NatCsirt,gci21_Nactivity,gci21_Nfirst,gci21_NregCisrt,gci22_Scsirt,gci22_Sactivity,gci23_FStandard,gci23_Fciip,gci31_Nstrategy,gci31_Npriority,gci32_Acyber,gci32_Aciip,gci32_Acapacity,gci32_Acop,gci33_Maudit,gci33_Mrisk,gci33_Mmaturity,gci34_Copstrategy,gci34_Copreporting,gci41_AWmsme,gci41_AWprivate,gci41_AWpublic,gci41_AWsociety,gci41_AWgeneral,gci41_AWelderly,gci41_AWdisability,gci41_AWcop,gci41_AWchildren,gci42_Tprofessional,gci42_Tacreditation,gci42_Tsector,gci43_Cprimary,gci43_Csecondary,gci43_Chigher,gci44_Rndprivate,gci44_Rndpublic,gci44_RndAcademic,gci44_Evalscheme,gci45_Dindustry,gci45_Dassociation,gci46_Icapacitydev,gci46_Iindustry,gci46_Irnd,gci51_Bcountry,gci51_Bregintl,gci52_Minfosharing,gci52_Mcapacitydev,gci53_Mlat,gci54_PPPdomestic,gci54_PPPforeign,gci55_Coordination
AA Penyusunan Peraturan Menteri,gci11_Lforgery,2.0539125955565396e-14,-0.000773040055068952,0.00018276006621731344,0.007838170895446472,0.001438770108169507,1.2006261444375e-05,-8.005620885764841e-06,-0.0022236710577950847,0.0024223664740483652,0.0,-0.01377237535266218,0.007557487504764038,4.71549499447832e-09,-6.415651343516515e-10,0.0,3.366863898790484e-09,-6.790134010614679e-10,3.501332557220849e-11,-0.0019928445765107217,0.008730454124979081,-0.005367298094642425,-0.0012979992088483217,-7.269092506079211e-05,0.00925218108814263,-0.0012206000303840447,-0.0024637565196872213,0.0021998716600414303,-0.004504541705878884,0.015207556836361436,-0.0026137060445885485,0.005837008442489577,0.0,7.36055105754474e-10,-2.102651386337584e-12,6.884492975700596e-13,2.072079174908481e-10,0.0,0.0,0.0,0.0,6.059088786258826e-10,-1.82709403162562e-12,-1.7284305098286268e-09,0.0,0.0,0.0056475246643648,0.0010275793885552442,0.0006999343835443206,-0.001523946314936353,-2.744267702858849e-06,-0.005078509942399001,0.0030120548032920302,-0.0001309895863775834,-0.007087691230464377,0.0,8.409839491463345e-11,0.0,7.862648310208442e-10,1.4187195862547242e-10,0.014227842925360057,0.013471433542529776,0.0030259001752407366,0.003250291924679294
"AA Penyusunan Rancangan Naskah Akademik Rancangan
Undang-Undang tentang Keamanan dan Ketahanan Siber",gci11_Lolsafety,1.0225154056797692e-13,-0.000331302880743678,0.0001930582377461798,-0.0013107283124303981,-0.0017636209158305993,1.80093921665625e-05,-0.00011912649011547316,-0.0008067203452967187,-0.0005062549451924081,0.0,-0.003167125748614552,-0.005038325003175803,-7.094107634664226e-09,-3.927155045602149e-09,0.0,-1.8214181274345265e-09,-6.277670605570052e-10,-5.375644374083777e-10,0.0012615334092997976,0.013295922776346503,0.0009939440916005848,-0.0031946974469820866,-0.0025763612636586775,-0.0012329969169998511,-0.004467903244911531,-0.007467697217390823,5.328970488371887e-05,0.004623082277087187,0.01148095739637578,0.005924400367734672,0.005336693433133033,0.0,5.717453177567222e-10,-1.4162004902118497e-12,3.9035441545820504e-13,5.211977516239585e-10,0.0,0.0,0.0,0.0,1.0841327835464654e-10,-1.0416822959768979e-10,-1.0593604882203067e-09,0.0,0.0,0.0029356447259718532,0.003665983528946759,0.0008165901141345966,-0.0006431197817203804,0.0,0.0007374337279472121,0.025936340664042268,-0.005354502049397025,-0.0008514362796973041,0.0,6.217915071715652e-11,0.0,2.562962064800445e-10,3.7123139007277928e-09,-0.0005142593828445507,0.015492148573909348,0.0063748733165571725,-0.0010388498543761893
"Dukungan Pembahasan Pengaturan Keamanan dan
Ketahanan Siber",gci11_Lonline,-1.5776269179923474e-13,-0.000110434293581263,6.6029662968425384e-06,0.010014362089155848,0.0023750315467730987,2.401252288886102e-05,1.78076705503738e-05,-0.0011671174470599954,-0.00023703958192500263,0.0,-0.0069077224913585145,0.00395868393106702,-1.2936316462486275e-09,-3.90771404124024e-09,0.0,-2.207781735208414e-10,-1.7936185869871224e-10,-9.927424438060939e-10,0.0005859408271263744,0.010752181219865431,-0.003975776366401784,-0.0037237090502514336,1.3758187070722627e-06,-0.009197458385149737,-0.005220725704489282,-0.002218127886353005,-0.012820583128171914,0.0005927028560372971,0.01803102357896713,0.0006969882785571313,0.018011340336823944,0.0,4.862509284109251e-10,-8.154588115871775e-13,7.123190925995004e-13,6.356064563561858e-10,0.0,0.0,0.0,0.0,1.288908979546477e-10,-5.0256576678009424e-11,-1.1151162215838895e-09,0.0,0.0,0.0027545487314007966,-1.7791530871891226e-06,0.0005832786529532674,0.003308587110075867,-0.0014744290285118034,-0.0014940878840137284,-0.0007298328890150696,-0.0024697729723660578,-0.000897610162969853,0.0,3.131161996350329e-12,0.0,7.124169032479699e-10,-2.6009872033938564e-10,0.02017548111224865,0.012124290188276765,-0.010485966563692495,-0.001785007309281661
Penyelenggaraan Program Regulasi BSSN,gci11_Lonline,-1.1723955140041653e-13,-0.001325211522975489,0.00025191948559921684,0.010031654906920151,0.002070707139320227,-1.2006261444486022e-05,-2.9679450921360484e-06,7.075442808612831e-05,0.0006055308479880894,0.0,-0.008383778065001901,-0.01259581250793984,-1.2185174314005565e-08,-1.0887164503259328e-09,0.0,-3.3306690738754696e-16,-1.274751415536457e-09,-1.6291685778213605e-09,-0.0018377012852935914,0.006208846517491651,-0.00019878881832002815,-0.003893092420863997,-0.0006395090876132326,0.008073561309188904,0.0011363508831482294,-0.0007610820751066116,0.0005101285422577373,-0.006164109702782583,0.0023607346363783144,0.004007682601702589,-0.0015009450280684122,0.0,1.0152467755375483e-10,-1.1800560528740789e-12,-2.9753977059954195e-14,-2.5424107263916085e-11,0.0,0.0,0.0,0.0,5.432706506880436e-10,-1.2792322756638441e-11,-3.186018115997058e-11,0.0,0.0,0.0032715307985119457,-0.0020006918266183282,0.0004666229223625473,-0.00030614551254848354,-5.4885354058287206e-06,-0.00013233096495535168,0.023747314667539876,-0.004367122906012599,0.002611181265270046,0.0,-1.4091172673147412e-11,0.0,9.991215632609851e-10,-8.228569381429907e-09,-0.0020570375313770928,0.005556966336293878,-3.9149013983830194e-05,0.001410125427111164
Penyusunan Rancangan Naskah Akademik Rancangan Undang-Undang tentang Keamanan dan Ketahanan Siber,gci11_Lonline,-5.5844218138645374e-14,-0.0004785486055191024,0.00021864261825943476,0.009595583445456857,0.0012679075661607975,2.401252288886102e-05,2.077561564217678e-05,-0.00027611378749869964,0.001581569123074389,0.0,-0.007997028399307493,0.0011996011912325244,-5.049335394247123e-09,-4.607602854811432e-09,0.0,3.1736827610373552e-09,2.4982615975943645e-10,-3.5219738236946796e-10,0.008005716163558163,0.009985278607546388,0.009939440916004738,-0.005691688558532082,-0.0006376746626702845,0.0024659938339997023,-0.005035423382068305,-0.00399263019543683,-0.007227150958181383,-0.010075948552624725,0.012960776006490149,-0.0003484941392782881,0.0038357484050646207,0.0,-9.618139618083887e-11,2.360334150353083e-13,4.0090153419214403e-13,5.873010966439551e-10,0.0,0.0,0.0,0.0,-1.0961831442557468e-10,-1.2609868704771543e-10,-2.0191569527483466e-09,0.0,0.0,0.004046002837366003,-0.0014328155375010754,-0.00023331146118110713,-0.004147222128581318,-5.4885354058287206e-06,-0.0004049813279706216,0.004899350630913846,-0.00041916430504340685,-0.005979954069393778,0.0,-2.7957747228413155e-11,0.0,1.129440985181418e-10,1.2768465174062271e-09,0.007713890742665042,0.00841964596408129,0.005611372361096545,0.004254722009459422
PEMENUHAN INDEKS REFORMASI HUKUM,gci11_Lonline,-1.5210055437364645e-14,-0.0003681143119378394,0.00012475210564433237,0.0035419476117728443,-0.0017619840270729492,2.401252288886102e-05,5.935890183161874e-06,3.1536626472483675e-06,0.00011194428408456414,0.0,-0.00819726664347209,0.014395214294788627,3.922624225438653e-09,7.387717104734293e-10,0.0,-4.387961771712412e-09,-1.460519150064954e-09,3.6249481194516875e-10,-0.0015037332371593548,0.004547550520943355,-0.004969720458002369,-0.005802159568067844,0.0,-0.001059678732950542,-0.0031078476355630436,0.004410330196297996,0.0006290529388837118,-0.00486016341950124,0.01474396368634745,0.02073540128707152,0.021291441960321844,0.0,6.879642411306008e-10,-6.652456363553938e-13,9.033884751374899e-13,1.2076462052590387e-10,0.0,0.0,0.0,0.0,3.384893476621187e-10,-9.228973141262031e-11,3.982557617021598e-10,0.0,0.0,0.0004053418254118535,-0.0004236620877993147,0.0005832786529534895,-0.004533268476492491,-2.744267702858849e-06,0.0005841462558122679,0.030157264575172538,-0.002807749963342432,0.010843342205510198,0.0,5.7258309205110436e-11,0.0,2.3457602527088284e-10,3.7832492694178654e-10,0.009727851455815673,0.02357500869942708,0.0018914047830396186,0.002073227704193048
"TANGGAPAN HUKUM RANCANGAN PRODUK HUKUM
BSSN",gci11_Lonline,-9.692247004977617e-14,-0.0012884000917815497,0.00023104108643245969,0.01159653003612049,0.0018662329460914506,1.80093921665625e-05,1.483972545868184e-05,6.307325294607757e-06,-9.091710208330994e-05,0.0,-0.006599767039625504,0.01511497500952852,-1.1267111688084697e-09,1.8858120620635077e-09,0.0,-4.553545096541711e-09,1.921796055626146e-11,-1.3696550560382548e-09,0.0010777024885213482,0.00495903339666115,0.0015903105465606693,-0.003956809110105319,-4.586062357647691e-07,0.006082640529307071,-0.0012156172181855274,0.0010351263469652316,-0.002422812874262492,-0.002607892566561687,0.0035865829667849347,0.029447754769034495,0.02518252213759664,0.0,3.473266119158325e-11,2.5768276401549883e-13,3.5837999234900053e-13,3.1398983413311043e-10,0.0,0.0,0.0,0.0,5.517020174039544e-10,2.1747592615639633e-10,-6.252618423019385e-10,0.0,0.0,-0.004366017154460944,0.0018310233031418877,0.0009332458447253167,-0.0035168394309466056,-8.232803109020637e-06,-0.0016214979004425256,0.021501021404077614,-0.00128590944941398,-0.004893737466092674,0.0,-1.3417045252595017e-12,0.0,1.4291778871466931e-09,-1.8679803259757932e-09,0.011142286628294307,0.00016839291928161249,0.005964240352567152,0.00884833782852723
LAYANAN KOORDINASI HUKUM,gci11_Lonline,-2.531308496145357e-14,-3.681143119382835e-05,0.0002028180996611617,0.00907138574674704,-0.00014303543312665923,-1.800939216667352e-05,3.264739600916666e-05,-0.000682490637501032,-0.0016203066646738318,0.0,-0.008383568158096377,-0.0003598803573691134,-6.301237642780677e-09,-6.22123685900533e-10,0.0,-5.519450452240449e-10,-1.0249301407583289e-10,-7.043943206497261e-10,0.016832395249373855,0.00718847657618138,-0.008349130369443847,9.810210046568013e-05,1.3758187070722627e-06,-0.004685388284599301,-0.003483435092602627,-9.564370920001064e-05,0.004062361768547462,-0.004386001134671802,0.008031463392040972,0.006795635715931003,0.007282621698347369,0.0,-4.114421026102377e-10,-3.003930437728286e-12,9.825473767932635e-13,-2.0212309603806489e-10,0.0,0.0,0.0,0.0,1.397317817009025e-10,3.390064895469891e-10,5.575584438588521e-10,0.0,0.0,0.004905798828669705,-0.000898803453306285,0.00046662292236276937,-0.005879601528767542,-1.3721338514627313e-05,-0.003136137618093504,0.011809202702970922,-0.0025403228973032155,-0.0016691823162593433,0.0,1.2301604179754122e-11,0.0,2.215441163855303e-10,7.802951618174347e-10,-0.007199631359820824,0.016165720251035798,0.01112747970896677,0.003146809733704292
PENGELOLAAN JDIH BSSN,gci11_Lonline,-5.6066262743570405e-14,-0.00040492574313133467,0.00021696896525513765,0.008992741287505823,-0.003964777053344859,6.003130722076477e-06,4.451917637648961e-05,-0.001248384083969989,0.0012584148670048423,0.0,-0.01023264657479972,0.0027590827398346063,-2.0865087435595342e-10,-1.5747503301355437e-09,0.0,1.1866815308181344e-09,-6.021441123493787e-10,-2.1214197065688722e-10,0.0037698211129072456,0.006703101130641209,0.0007951552732803346,-0.0031763578011368976,-0.0002116426197706911,0.005406627938440267,-0.0026926666803951393,-0.0020919588069180373,-0.010880988058365237,-0.003319135993805844,0.01696499750839664,0.004878917949899475,0.00950598517776835,0.0,4.248015272878547e-10,-2.231215212589177e-12,-1.0613732115416497e-13,4.678066822805249e-10,0.0,0.0,0.0,0.0,1.9032508902228074e-10,5.939526648290894e-11,3.30552252236771e-10,0.0,0.0,0.011369502238370188,-0.0007480623101687733,0.0006999343835439875,0.0007706279876338318,-5.4885354058287206e-06,-0.004355317001599968,0.0048929590053024,-0.00432875601110172,0.002221798699239552,0.0,3.6233571698573996e-11,0.0,1.0860023991199341e-10,4.1852199483827235e-09,0.00908524909691677,0.009430003479770854,0.005763511010468014,0.0026047209388652126
PENERJEMAHAN DOKUMEN HUKUM,gci11_Lonline,-0.00012671689544108133,-0.00025768001835646537,2.495442517969071e-05,0.004467253166601237,0.003737125507242478,1.2006261444375e-05,2.3743560733979763e-05,-0.00017816460176300897,-0.0007455742000387344,0.0,-0.0015047686603464339,-0.002879042858957348,-1.6274718239728259e-09,2.7801144719674653e-09,0.0,-4.857113822254178e-09,-5.829262628154197e-10,-3.542566240355427e-10,0.006439196815911319,0.013307870600641758,-0.003776987548081867,-0.00720743639924859,-0.0011446477088180584,-0.0009863975336000808,-0.006352768661394337,7.393759621199258e-05,-0.0029538511341833384,-0.007942218270892698,0.0026602289900231613,0.010629071247994948,0.01500945028068712,0.0,6.959794962568822e-10,8.79740724712974e-13,1.1110001807423942e-12,5.695032223584917e-10,0.0,0.0,0.0,0.0,2.722372327568223e-10,1.7362555837507898e-11,-1.4974419482172152e-09,0.0,0.0,-0.003678871486629931,0.0006720087682768883,0.0001166557305907201,-0.0019164414966961196,-2.744267702858849e-06,-0.0034570120419561423,-0.00324060946561755,-0.0022080391234766683,-0.006064133983064379,0.0,-2.9300339932092356e-11,0.0,3.735843856489396e-10,1.7733978729950195e-09,0.007713890742665042,0.019533578636667936,0.0012878811917381716,0.0024909555932626226
