sdg,2020,2021,2022,2023,2024
11,693654000,220726000,604656000,3864677000,1420850000
12,3603463000,2316681000,4256757000,7270508000,2930907000
21,4.04752E+11,6.1929E+11,53903749000,4860150000,18233502000
22,3278602000,11422921000,11705945000,9219936000,7791983000
23,2205917000,1800895000,631924000,1331138000,1650166000
31,0,0,537171000,820967000,1165564000
32,44544479000,98495152000,29873249000,12693443000,4.06062E+11
33,6831659000,7437798000,5128202000,9432893000,4590403000
34,0,0,0,0,0
41,6373120000,8681508000,6038437000,4711456000,2854410000
42,29425231000,11437027000,13287133000,14234481000,8501927000
43,0,3484462000,7542370000,23938969000,5158058000
44,53517757000,46149432000,1844694000,2188275000,3294970000
45,125850000,247964000,82612000,743082000,620310000
46,657596000,755333000,3403119000,15927336000,2063146000
51,374788000,143894000,942453000,1591051000,528953000
52,104516000,127990000,1117163000,1106958000,339039000
53,0,0,0,0,0
54,1677239000,812900000,686554000,975691000,567815000
55,614358000,739313000,864134000,978766000,424347000
