sdg,2020,2021,2022,2023,2024
11,346827000,110363000,302328000,1932338500,710425000
12,1801731500,1158340500,2128378500,3635254000,1465453500
21,2.02E+11,3.10E+11,26951874500,2430075000,9116751000
22,1639301000,5711460500,5852972500,4609968000,3895991500
23,1102958500,900447500,315962000,665569000,825083000
31,0,0,268585500,410483500,582782000
32,22272239500,49247576000,14936624500,6346721500,2.03E+11
33,3415829500,3718899000,2564101000,4716446500,2295201500
34,0,0,0,0,0
41,3186560000,4340754000,3019218500,2355728000,1427205000
42,14712615500,5718513500,6643566500,7117240500,4250963500
43,0,1742231000,3771185000,11969484500,2579029000
44,26758878500,23074716000,922347000,1094137500,1647485000
45,62925000,123982000,41306000,371541000,310155000
46,328798000,377666500,1701559500,7963668000,1031573000
51,187394000,71947000,471226500,795525500,264476500
52,52258000,63995000,558581500,553479000,169519500
53,0,0,0,0,0
54,838619500,406450000,343277000,487845500,283907500
55,307179000,369656500,432067000,489383000,212173500
