seriesCode,2020,2021,2022,2023,2024,sdg,yearTotal
gci11_Lolsafety,117824000,0,369324000,461966000,1479349000,11,2428463000
gci11_Lforgery,875165000,114513000,7300000,270068000,49827000,11,1316873000
gci11_Lonline,237303000,353094000,708483000,2995641000,0,11,4294521000
gci12_Rpdp,1683348000,63520000,0,925692000,288481000,12,2961041000
gci12_Rprivacy,132422000,1066716000,179893000,14200000,673658000,12,2066889000
gci12_Rnotif,19580000,12050000,938769000,198602000,90928000,12,1259929000
gci12_RAuditre,0,0,370032000,1007992000,0,12,1378024000
gci12_Rstandard,1214845000,205730000,890225000,2908412000,841607000,12,6060819000
gci12_Rsign,0,305165000,284737000,587048000,263278000,12,1440228000
gci12_Rspam,16630000,0,0,0,17900000,12,34530000
gci12_Rciip,4225000,639364000,1055285000,1491054000,485387000,12,3675315000
gci12_Rcop,0,0,0,0,0,12,0
gci21_NatCsirt,3.98E+11,6.11E+11,0,541485000,97649469000,21,1.11E+12
gci21_Nactivity,6402351000,8194056000,16867804000,10283142000,1.28E+11,21,1.70E+11
gci21_Nfirst,0,0,253172000,0,0,21,253172000
gci21_NregCisrt,0,0,0,0,0,21,0
gci22_Scsirt,2527392000,6301340000,6754628000,5306004000,4552570000,22,25441934000
gci22_Sactivity,751210000,5012255000,4951317000,3024547000,3349859000,22,17089188000
gci23_FStandard,1375720000,1381168000,128964000,105892000,827591000,23,3819335000
gci23_Fciip,825972000,405347000,486305000,1384931000,445523000,23,3548078000
gci31_Nstrategy,0,0,534783000,322795000,197383000,31,1054961000
gci31_Npriority,0,0,2388000,430878000,968181000,31,1401447000
gci32_Acyber,41695836000,94844361000,65647135000,4510299000,45420156000,32,2.52E+11
gci32_Aciip,765053000,127214000,123625000,1294664000,1.51E+11,32,1.53E+11
gci32_Acapacity,405490000,1422413000,593853000,2223352000,526641000,32,5171749000
gci32_Acop,0,0,0,0,0,32,0
gci33_Maudit,679462000,1508083000,586185000,1570952000,2194877000,33,6539559000
gci33_Mrisk,1875199000,3966463000,1336723000,2907305000,1244030000,33,11329720000
gci33_Mmaturity,4325528000,1990052000,3862513000,4980504000,2673679000,33,17832276000
gci34_Copstrategy,0,0,0,0,0,34,0
gci34_Copreporting,0,0,0,0,0,34,0
gci41_AWmsme,0,112326000,328993000,0,177341000,41,618660000
gci41_AWprivate,0,1065493000,358791000,416533000,89549000,41,1930366000
gci41_AWpublic,4320000,1197036000,0,267800000,15194000,41,1484350000
gci41_AWsociety,0,1135930000,455519000,1899721000,212444000,41,3703614000
gci41_AWgeneral,6112563000,4107628000,4536833000,2115222000,2600009000,41,19472255000
gci41_AWelderly,127131000,232360000,0,0,0,41,359491000
gci41_AWdisability,0,174472000,0,0,0,41,174472000
gci41_AWcop,32460000,190376000,0,0,311868000,41,534704000
gci41_AWchildren,0,481127000,121473000,0,0,41,602600000
gci42_Tprofessional,27475870000,8411918000,8744761000,6745281000,2999016000,42,54376846000
gci42_Tacreditation,555558000,1091908000,533649000,1521804000,1622650000,42,5325569000
gci42_Tsector,1518373000,2000604000,3679259000,5946068000,4005635000,42,17149939000
gci43_Cprimary,0,0,172120000,0,0,43,172120000
gci43_Csecondary,0,31752000,125090000,0,0,43,156842000
gci43_Chigher,0,1489466000,7245160000,4944825000,5147936000,43,18827387000
gci44_Rndprivate,0,0,0,0,0,44,0
gci44_Rndpublic,51201765000,39900798000,995096000,272184000,166464000,44,92536307000
gci44_RndAcademic,1263734000,4791300000,906098000,655762000,2769742000,44,10386636000
gci44_Evalscheme,968248000,3205273000,244592000,1320426000,480740000,44,6219279000
gci45_Dindustry,110700000,75984000,173733000,570714000,110117000,45,1041248000
gci45_Dassociation,15150000,178780000,15820000,172368000,332000000,45,714118000
gci46_Icapacitydev,214141000,128921000,2359546000,3487738000,1324891000,46,7515237000
gci46_Iindustry,443455000,537655000,631282000,1170817000,608577000,46,3391786000
gci46_Irnd,0,233170000,261143000,9903871000,0,46,10398184000
gci51_Bcountry,292917000,141644000,942453000,1591051000,528953000,51,3497018000
gci51_Bregintl,81871000,2250000,0,0,0,51,84121000
gci52_Minfosharing,94800000,127990000,976951000,799321000,339039000,52,2338101000
gci52_Mcapacitydev,9716000,0,0,307637000,0,52,317353000
gci53_Mlat,0,0,0,0,0,53,0
gci54_PPPdomestic,1577239000,841328000,686554000,812315000,460843000,54,4378279000
gci54_PPPforeign,100000000,0,0,263520000,117094000,54,480614000
gci55_Coordination,1303857000,1668853000,1100962000,2285077000,424347000,55,6783096000
