,seriesCode,sdg,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,seriesName,bestBound,worstBound,instrumental,invert,color,2018weight,2020weight,2024weight
0,gci11_Lonline,11,3.42368,3.4143396043036773,3.313101112822551,3.42368,3.42368,3.1473379519484297,2.728650158449053,3.1520178257196676,3.1889828728126304,3.2490617782368645,3.42368,Laws on unauthorized online behavior ,3.42368,0,1,0,#A21942,2.6333,3.7739,3.42368
1,gci11_Lforgery,11,2.805590204,2.7930539217122714,2.6571759194375772,2.805590204,2.805590204,2.4346956471490557,1.8727506781219587,2.440976774902083,2.4905896907039278,2.5712250451833825,2.805590204,legislation in force related to computer-related forgery (piracy/copyright infringements) ,2.805590204,0,1,0,#A21942,2.6333,3.243,2.805590204
2,gci11_Lolsafety,11,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,3.176444082,Laws on online safety ,3.176444082,0,1,0,#A21942,2.6333,2.1668,3.176444082
3,gci12_Rpdp,12,0.0,0.3961577226873487,0.7705039218053571,0.8142465305,1.628493061,1.5387464209561585,1.628493061,1.628493061,1.628493061,1.628493061,1.628493061,Regulation(s) related to personal data protection ,1.628493061,0,1,0,#FF3A21,0.9875,1.4599,1.628493061
4,gci12_Rprivacy,12,0.0,0.2879138839416555,0.559975898511766,0.5917665305,1.183533061,1.1183082724310225,1.183533061,1.183533061,1.183533061,1.183533061,1.183533061,Regulation(s) related to privacy protection ,1.183533061,0,1,0,#FF3A21,0.9875,1.4599,1.183533061
5,gci12_Rnotif,12,0.0,0.2798140049853828,0.5442221011107904,0.5751183675,1.150236735,1.086846914873604,1.150236735,1.150236735,1.150236735,1.150236735,1.150236735,Regulation(s) related to data breach/incident notification applying to private sector actors ,1.150236735,0,1,0,#FF3A21,0.9875,2.2202,1.150236735
6,gci12_RAuditre,12,0.0,0.2569870730258117,0.49982503499632003,0.5282008165,1.056401633,0.9981830876786262,1.056401633,1.056401633,1.056401633,1.056401633,1.056401633,"Regulation(s) related to cybersecurity audit requirements applying to national government agencies, departments, or their contractors ",1.056401633,0,1,0,#FF3A21,0.9875,1.5222,1.056401633
7,gci12_Rstandard,12,0.0,0.23416014105532668,0.45542796888184967,0.4812832655,0.962566531,0.9095192604618205,0.962566531,0.962566531,0.962566531,0.962566531,0.962566531,Regulation(s) related to cybersecurity standards applying to national public sector actors ,0.962566531,0,1,0,#FF3A21,0.9875,0.8889,0.962566531
8,gci12_Rsign,12,0.0,0.26287789413618157,0.5112823422932706,0.5403085715,1.080617143,1.0210640751647588,1.080617143,1.080617143,1.080617143,1.080617143,1.080617143,Regulation(s) related to use of digital signatures and e-transactions in government services and applications (e-govt),1.080617143,0,1,0,#FF3A21,0.9875,0.8541,1.080617143
9,gci12_Rspam,12,0.0,0.07941459565699915,0.23414129448065069,0.0,0.6835836733333333,0.5975019535071624,0.820300408,0.755558886736253,0.8092821090467623,0.820300408,0.820300408,"Regulation(s) related to unsolicited communication, also known as spam ",0.820300408,0,1,0,#FF3A21,4.2,0.7272,0.820300408
